,Ex-Ante Risk,,,,0,,,Ex-Ante Risk
6/25/2021,30.7%,,,6/25/2021,0.457449942,,6/25/2021,10.0%
6/28/2021,32.4%,,,6/28/2021,0.455577406,,6/28/2021,10.0%
6/29/2021,33.7%,,,6/29/2021,0.455360608,,6/29/2021,10.0%
6/30/2021,31.0%,,,6/30/2021,0.454075015,,6/30/2021,10.0%
7/1/2021,32.0%,,,7/1/2021,0.454019115,,7/1/2021,10.0%
7/2/2021,33.3%,,,7/2/2021,0.454039209,,7/2/2021,10.0%
7/6/2021,36.0%,,,7/6/2021,0.452502436,,7/6/2021,10.0%
7/7/2021,33.1%,,,7/7/2021,0.452438891,,7/7/2021,10.0%
7/8/2021,34.1%,,,7/8/2021,0.452232564,,7/8/2021,10.0%
7/9/2021,31.5%,,,7/9/2021,0.453536466,,7/9/2021,10.0%
7/12/2021,33.8%,,,7/12/2021,0.453485428,,7/12/2021,10.0%
7/13/2021,32.3%,,,7/13/2021,0.451867448,,7/13/2021,10.0%
7/14/2021,33.0%,,,7/14/2021,0.451558317,,7/14/2021,10.0%
7/15/2021,34.7%,,,7/15/2021,0.451559781,,7/15/2021,10.0%
7/16/2021,34.8%,,,7/16/2021,0.452522327,,7/16/2021,10.0%
7/19/2021,33.9%,,,7/19/2021,0.453017629,,7/19/2021,10.0%
7/20/2021,34.8%,,,7/20/2021,0.450920517,,7/20/2021,10.0%
7/21/2021,34.9%,,,7/21/2021,0.452347649,,7/21/2021,10.0%
7/22/2021,34.9%,,,7/22/2021,0.452287988,,7/22/2021,10.0%
7/23/2021,34.9%,,,7/23/2021,0.450288929,,7/23/2021,10.0%
7/26/2021,34.9%,,,7/26/2021,0.450230104,,7/26/2021,10.0%
7/27/2021,34.8%,,,7/27/2021,0.450809368,,7/27/2021,10.0%
7/28/2021,35.1%,,,7/28/2021,0.452456421,,7/28/2021,10.0%
7/29/2021,35.1%,,,7/29/2021,0.453471477,,7/29/2021,10.0%
7/30/2021,35.1%,,,7/30/2021,0.453383491,,7/30/2021,10.0%
8/2/2021,34.7%,,,8/2/2021,0.452205928,,8/2/2021,10.0%
8/3/2021,35.2%,,,8/3/2021,0.452262254,,8/3/2021,10.0%
8/4/2021,35.2%,,,8/4/2021,0.452205941,,8/4/2021,10.0%
8/5/2021,35.2%,,,8/5/2021,0.452188349,,8/5/2021,10.0%
8/6/2021,35.2%,,,8/6/2021,0.45160764,,8/6/2021,10.0%
8/9/2021,35.2%,,,8/9/2021,0.451087812,,8/9/2021,10.0%
8/10/2021,35.2%,,,8/10/2021,0.450980288,,8/10/2021,10.0%
8/11/2021,35.2%,,,8/11/2021,0.449406176,,8/11/2021,10.0%
8/12/2021,34.6%,,,8/12/2021,0.446726503,,8/12/2021,10.0%
8/13/2021,33.3%,,,8/13/2021,0.4468398,,8/13/2021,10.0%
8/16/2021,33.3%,,,8/16/2021,0.449181296,,8/16/2021,10.0%
8/17/2021,35.3%,,,8/17/2021,0.449636537,,8/17/2021,10.0%
8/18/2021,35.3%,,,8/18/2021,0.449246442,,8/18/2021,10.0%
8/19/2021,35.3%,,,8/19/2021,0.449140578,,8/19/2021,10.0%
8/20/2021,35.3%,,,8/20/2021,0.448334383,,8/20/2021,10.0%
8/23/2021,35.4%,,,8/23/2021,0.449101295,,8/23/2021,10.0%
8/24/2021,35.4%,,,8/24/2021,0.448984554,,8/24/2021,10.0%
8/25/2021,35.4%,,,8/25/2021,0.448746844,,8/25/2021,10.0%
8/26/2021,35.4%,,,8/26/2021,0.447333222,,8/26/2021,10.0%
8/27/2021,35.4%,,,8/27/2021,0.447686184,,8/27/2021,10.0%
8/30/2021,35.4%,,,8/30/2021,0.447620228,,8/30/2021,10.0%
8/31/2021,35.4%,,,8/31/2021,0.447298914,,8/31/2021,10.0%
9/1/2021,35.4%,,,9/1/2021,0.446417786,,9/1/2021,10.0%
9/2/2021,35.4%,,,9/2/2021,0.4460871,,9/2/2021,10.0%
9/3/2021,35.4%,,,9/3/2021,0.434243159,,9/3/2021,10.0%
9/7/2021,35.4%,,,9/7/2021,0.434481602,,9/7/2021,10.0%
9/8/2021,35.4%,,,9/8/2021,0.423848397,,9/8/2021,10.0%
9/9/2021,35.4%,,,9/9/2021,0.420045632,,9/9/2021,10.0%
9/10/2021,35.1%,,,9/10/2021,0.417937811,,9/10/2021,10.0%
9/13/2021,34.6%,,,9/13/2021,0.418096093,,9/13/2021,10.0%
9/14/2021,40.0%,,,9/14/2021,0.416795816,,9/14/2021,10.0%
9/15/2021,36.7%,,,9/15/2021,0.416667397,,9/15/2021,10.0%
9/16/2021,37.3%,,,9/16/2021,0.415883427,,9/16/2021,10.0%
9/17/2021,38.4%,,,9/17/2021,0.414880072,,9/17/2021,10.0%
9/20/2021,39.0%,,,9/20/2021,0.416606153,,9/20/2021,10.0%
9/21/2021,39.9%,,,9/21/2021,0.416660157,,9/21/2021,10.0%
9/22/2021,43.7%,,,9/22/2021,0.416163009,,9/22/2021,10.0%
9/23/2021,42.3%,,,9/23/2021,0.412435986,,9/23/2021,10.0%
9/24/2021,49.2%,,,9/24/2021,0.412346846,,9/24/2021,10.0%
9/27/2021,49.4%,,,9/27/2021,0.412283899,,9/27/2021,10.0%
9/28/2021,49.4%,,,9/28/2021,0.410532651,,9/28/2021,10.0%
9/29/2021,49.4%,,,9/29/2021,0.410406808,,9/29/2021,10.0%
9/30/2021,49.4%,,,9/30/2021,0.410181345,,9/30/2021,10.0%
10/1/2021,49.4%,,,10/1/2021,0.409890515,,10/1/2021,10.0%
10/4/2021,49.4%,,,10/4/2021,0.407243317,,10/4/2021,10.0%
10/5/2021,49.4%,,,10/5/2021,0.404826043,,10/5/2021,10.0%
10/6/2021,49.4%,,,10/6/2021,0.405216813,,10/6/2021,10.0%
10/7/2021,49.4%,,,10/7/2021,0.40303186,,10/7/2021,10.0%
10/8/2021,49.4%,,,10/8/2021,0.403792231,,10/8/2021,10.0%
10/11/2021,49.4%,,,10/11/2021,0.402959999,,10/11/2021,10.0%
10/12/2021,49.4%,,,10/12/2021,0.402900343,,10/12/2021,10.0%
10/13/2021,49.3%,,,10/13/2021,0.402913751,,10/13/2021,10.0%
10/14/2021,49.4%,,,10/14/2021,0.403015507,,10/14/2021,10.0%
10/15/2021,49.3%,,,10/15/2021,0.402927325,,10/15/2021,10.0%
10/18/2021,49.3%,,,10/18/2021,0.402924168,,10/18/2021,10.0%
10/19/2021,49.3%,,,10/19/2021,0.402953605,,10/19/2021,10.0%
10/20/2021,49.3%,,,10/20/2021,0.402359676,,10/20/2021,10.0%
10/21/2021,49.3%,,,10/21/2021,0.395699669,,10/21/2021,10.0%
10/22/2021,49.3%,,,10/22/2021,0.395945351,,10/22/2021,10.0%
10/25/2021,49.2%,,,10/25/2021,0.396839034,,10/25/2021,10.0%
10/26/2021,49.2%,,,10/26/2021,0.396092066,,10/26/2021,10.0%
10/27/2021,49.3%,,,10/27/2021,0.397809501,,10/27/2021,10.0%
10/28/2021,49.2%,,,10/28/2021,0.397137061,,10/28/2021,10.0%
10/29/2021,49.2%,,,10/29/2021,0.397383254,,10/29/2021,10.0%
11/1/2021,49.2%,,,11/1/2021,0.397258599,,11/1/2021,10.0%
11/2/2021,49.2%,,,11/2/2021,0.395084259,,11/2/2021,10.1%
11/3/2021,49.2%,,,11/3/2021,0.395138063,,11/3/2021,10.1%
11/4/2021,49.2%,,,11/4/2021,0.394152227,,11/4/2021,10.1%
11/5/2021,49.2%,,,11/5/2021,0.384878614,,11/5/2021,10.1%
11/8/2021,49.2%,,,11/8/2021,0.385044556,,11/8/2021,10.1%
11/9/2021,49.1%,,,11/9/2021,0.385028122,,11/9/2021,10.0%
11/10/2021,49.2%,,,11/10/2021,0.386953699,,11/10/2021,10.0%
11/11/2021,49.2%,,,11/11/2021,0.385048444,,11/11/2021,10.0%
11/12/2021,49.2%,,,11/12/2021,0.384266838,,11/12/2021,10.0%
11/15/2021,49.2%,,,11/15/2021,0.384205973,,11/15/2021,10.0%
11/16/2021,49.2%,,,11/16/2021,0.383747902,,11/16/2021,10.0%
11/17/2021,49.2%,,,11/17/2021,0.385091608,,11/17/2021,10.0%
11/18/2021,47.6%,,,11/18/2021,0.384975833,,11/18/2021,10.0%
11/19/2021,49.2%,,,11/19/2021,0.387581937,,11/19/2021,10.0%
11/22/2021,49.2%,,,11/22/2021,0.38767611,,11/22/2021,10.0%
11/23/2021,49.2%,,,11/23/2021,0.386587414,,11/23/2021,10.0%
11/24/2021,44.9%,,,11/24/2021,0.386280222,,11/24/2021,10.0%
11/26/2021,46.2%,,,11/26/2021,0.390601816,,11/26/2021,10.0%
11/29/2021,49.3%,,,11/29/2021,0.390497308,,11/29/2021,10.0%
11/30/2021,49.3%,,,11/30/2021,0.390520784,,11/30/2021,10.0%
12/1/2021,49.3%,,,12/1/2021,0.391849548,,12/1/2021,10.0%
12/2/2021,49.4%,,,12/2/2021,0.393265667,,12/2/2021,10.0%
12/3/2021,47.4%,,,12/3/2021,0.393361276,,12/3/2021,10.0%
12/6/2021,49.4%,,,12/6/2021,0.394085129,,12/6/2021,10.0%
12/7/2021,49.4%,,,12/7/2021,0.395604835,,12/7/2021,10.0%
12/8/2021,49.4%,,,12/8/2021,0.393590621,,12/8/2021,10.0%
12/9/2021,47.1%,,,12/9/2021,0.391718201,,12/9/2021,10.0%
12/10/2021,44.9%,,,12/10/2021,0.391735897,,12/10/2021,10.0%
12/13/2021,49.4%,,,12/13/2021,0.393892346,,12/13/2021,10.0%
12/14/2021,49.4%,,,12/14/2021,0.394094684,,12/14/2021,10.0%
12/15/2021,49.4%,,,12/15/2021,0.38747787,,12/15/2021,10.0%
12/16/2021,49.3%,,,12/16/2021,0.387474378,,12/16/2021,10.0%
12/17/2021,49.3%,,,12/17/2021,0.387627278,,12/17/2021,10.0%
12/20/2021,49.3%,,,12/20/2021,0.387459336,,12/20/2021,10.0%
12/21/2021,49.4%,,,12/21/2021,0.389774536,,12/21/2021,10.0%
12/22/2021,49.3%,,,12/22/2021,0.386037063,,12/22/2021,10.0%
12/23/2021,49.0%,,,12/23/2021,0.386039508,,12/23/2021,10.0%
12/27/2021,49.1%,,,12/27/2021,0.387763513,,12/27/2021,10.0%
12/28/2021,49.0%,,,12/28/2021,0.387729171,,12/28/2021,10.0%
12/29/2021,49.0%,,,12/29/2021,0.387057139,,12/29/2021,10.0%
12/30/2021,49.0%,,,12/30/2021,0.387078407,,12/30/2021,10.0%
12/31/2021,49.0%,,,12/31/2021,0.387079737,,12/31/2021,10.0%
1/3/2022,49.0%,,,1/3/2022,0.389645092,,1/3/2022,10.0%
1/4/2022,49.1%,,,1/4/2022,0.390489209,,1/4/2022,10.0%
1/5/2022,49.1%,,,1/5/2022,0.390507572,,1/5/2022,10.0%
1/6/2022,49.1%,,,1/6/2022,0.387732935,,1/6/2022,10.0%
1/7/2022,49.1%,,,1/7/2022,0.387407133,,1/7/2022,10.0%
1/10/2022,49.1%,,,1/10/2022,0.387401837,,1/10/2022,10.0%
1/11/2022,49.2%,,,1/11/2022,0.387286745,,1/11/2022,10.0%
1/12/2022,49.2%,,,1/12/2022,0.387433838,,1/12/2022,10.0%
1/13/2022,49.2%,,,1/13/2022,0.387462411,,1/13/2022,10.0%
1/14/2022,49.2%,,,1/14/2022,0.384747559,,1/14/2022,10.0%
1/18/2022,49.2%,,,1/18/2022,0.381233889,,1/18/2022,10.0%
1/19/2022,49.2%,,,1/19/2022,0.381416084,,1/19/2022,10.0%
1/20/2022,49.2%,,,1/20/2022,0.379750013,,1/20/2022,10.0%
1/21/2022,49.2%,,,1/21/2022,0.38032311,,1/21/2022,10.0%
1/24/2022,49.2%,,,1/24/2022,0.378450571,,1/24/2022,10.0%
1/25/2022,49.3%,,,1/25/2022,0.380998391,,1/25/2022,10.0%
1/26/2022,49.3%,,,1/26/2022,0.3783877,,1/26/2022,10.0%
1/27/2022,49.3%,,,1/27/2022,0.378422505,,1/27/2022,10.0%
1/28/2022,49.3%,,,1/28/2022,0.377369645,,1/28/2022,10.0%
1/31/2022,49.3%,,,1/31/2022,0.376168052,,1/31/2022,10.0%
2/1/2022,49.3%,,,2/1/2022,0.377909347,,2/1/2022,10.0%
2/2/2022,49.3%,,,2/2/2022,0.3777715,,2/2/2022,10.0%
2/3/2022,49.3%,,,2/3/2022,0.377789408,,2/3/2022,10.0%
2/4/2022,49.3%,,,2/4/2022,0.377862819,,2/4/2022,10.0%
2/7/2022,49.3%,,,2/7/2022,0.377043338,,2/7/2022,10.0%
2/8/2022,49.3%,,,2/8/2022,0.378096181,,2/8/2022,10.0%
2/9/2022,49.3%,,,2/9/2022,0.378105453,,2/9/2022,10.0%
2/10/2022,49.3%,,,2/10/2022,0.378104804,,2/10/2022,10.0%
2/11/2022,49.4%,,,2/11/2022,0.380116039,,2/11/2022,10.0%
2/14/2022,49.4%,,,2/14/2022,0.37945575,,2/14/2022,10.0%
2/15/2022,49.4%,,,2/15/2022,0.378540256,,2/15/2022,10.0%
2/16/2022,49.4%,,,2/16/2022,0.373643357,,2/16/2022,10.0%
2/17/2022,49.4%,,,2/17/2022,0.372621353,,2/17/2022,10.0%
2/18/2022,49.4%,,,2/18/2022,0.366512989,,2/18/2022,10.0%
2/22/2022,44.0%,,,2/22/2022,0.366828485,,2/22/2022,10.0%
2/23/2022,48.0%,,,2/23/2022,0.364329534,,2/23/2022,10.0%
2/24/2022,49.3%,,,2/24/2022,0.358448487,,2/24/2022,10.0%
2/25/2022,49.4%,,,2/25/2022,0.358429206,,2/25/2022,10.0%
2/28/2022,49.2%,,,2/28/2022,0.357309864,,2/28/2022,10.0%
3/1/2022,42.7%,,,3/1/2022,0.355421071,,3/1/2022,10.0%
3/2/2022,34.0%,,,3/2/2022,0.351678158,,3/2/2022,10.0%
3/3/2022,33.2%,,,3/3/2022,0.348103493,,3/3/2022,10.0%
3/4/2022,29.1%,,,3/4/2022,0.350501054,,3/4/2022,10.0%
3/7/2022,31.8%,,,3/7/2022,0.349870385,,3/7/2022,10.0%
3/8/2022,40.7%,,,3/8/2022,0.345061595,,3/8/2022,10.0%
3/9/2022,41.0%,,,3/9/2022,0.347944514,,3/9/2022,10.0%
3/10/2022,36.3%,,,3/10/2022,0.342621126,,3/10/2022,10.0%
3/11/2022,34.8%,,,3/11/2022,0.34290559,,3/11/2022,10.0%
3/14/2022,43.7%,,,3/14/2022,0.344914094,,3/14/2022,10.0%
3/15/2022,44.2%,,,3/15/2022,0.34324268,,3/15/2022,10.0%
3/16/2022,49.5%,,,3/16/2022,0.343012675,,3/16/2022,10.0%
3/17/2022,49.6%,,,3/17/2022,0.342897389,,3/17/2022,10.0%
3/18/2022,49.6%,,,3/18/2022,0.342285187,,3/18/2022,10.0%
3/21/2022,49.6%,,,3/21/2022,0.344659522,,3/21/2022,10.0%
3/22/2022,49.6%,,,3/22/2022,0.342588667,,3/22/2022,10.0%
3/23/2022,49.6%,,,3/23/2022,0.340977227,,3/23/2022,10.0%
3/24/2022,49.6%,,,3/24/2022,0.340666077,,3/24/2022,10.0%
3/25/2022,49.6%,,,3/25/2022,0.341745479,,3/25/2022,10.0%
3/28/2022,49.6%,,,3/28/2022,0.340047512,,3/28/2022,10.0%
3/29/2022,49.6%,,,3/29/2022,0.33763871,,3/29/2022,10.0%
3/30/2022,49.6%,,,3/30/2022,0.33611227,,3/30/2022,10.0%
3/31/2022,49.6%,,,3/31/2022,0.336293653,,3/31/2022,10.0%
4/1/2022,49.6%,,,4/1/2022,0.336431372,,4/1/2022,10.0%
4/4/2022,49.6%,,,4/4/2022,0.33633636,,4/4/2022,10.0%
4/5/2022,49.6%,,,4/5/2022,0.334865472,,4/5/2022,10.0%
4/6/2022,49.6%,,,4/6/2022,0.334860005,,4/6/2022,10.0%
4/7/2022,49.6%,,,4/7/2022,0.334874925,,4/7/2022,10.0%
4/8/2022,49.6%,,,4/8/2022,0.33576961,,4/8/2022,10.0%
4/11/2022,49.6%,,,4/11/2022,0.336900023,,4/11/2022,10.0%
4/12/2022,49.6%,,,4/12/2022,0.337100145,,4/12/2022,10.0%
4/13/2022,49.6%,,,4/13/2022,0.337751948,,4/13/2022,10.0%
4/14/2022,49.6%,,,4/14/2022,0.337630583,,4/14/2022,10.0%
4/18/2022,49.7%,,,4/18/2022,0.337745915,,4/18/2022,10.0%
4/19/2022,49.6%,,,4/19/2022,0.337734485,,4/19/2022,10.0%
4/20/2022,49.6%,,,4/20/2022,0.336844404,,4/20/2022,10.0%
4/21/2022,49.7%,,,4/21/2022,0.339303233,,4/21/2022,10.0%
4/22/2022,49.7%,,,4/22/2022,0.340360271,,4/22/2022,10.0%
4/25/2022,49.7%,,,4/25/2022,0.341293062,,4/25/2022,10.0%
4/26/2022,49.7%,,,4/26/2022,0.341191654,,4/26/2022,10.0%
4/27/2022,49.7%,,,4/27/2022,0.341561169,,4/27/2022,10.0%
4/28/2022,49.8%,,,4/28/2022,0.342846618,,4/28/2022,10.0%
4/29/2022,49.8%,,,4/29/2022,0.343838599,,4/29/2022,10.0%
5/2/2022,49.8%,,,5/2/2022,0.343762217,,5/2/2022,10.0%
5/3/2022,49.8%,,,5/3/2022,0.34714495,,5/3/2022,10.0%
5/4/2022,49.9%,,,5/4/2022,0.348497829,,5/4/2022,10.0%
5/5/2022,49.9%,,,5/5/2022,0.348206555,,5/5/2022,10.0%
5/6/2022,49.9%,,,5/6/2022,0.348348671,,5/6/2022,10.0%
5/9/2022,50.3%,,,5/9/2022,0.363409232,,5/9/2022,10.0%
5/10/2022,50.2%,,,5/10/2022,0.363160216,,5/10/2022,10.0%
5/11/2022,50.2%,,,5/11/2022,0.359749389,,5/11/2022,10.0%
5/12/2022,50.2%,,,5/12/2022,0.359770428,,5/12/2022,10.0%
5/13/2022,50.3%,,,5/13/2022,0.362056345,,5/13/2022,10.0%
5/16/2022,50.3%,,,5/16/2022,0.362515912,,5/16/2022,10.0%
5/17/2022,50.3%,,,5/17/2022,0.362688883,,5/17/2022,10.0%
5/18/2022,50.3%,,,5/18/2022,0.363225619,,5/18/2022,10.0%
5/19/2022,50.3%,,,5/19/2022,0.36318462,,5/19/2022,10.0%
5/20/2022,50.2%,,,5/20/2022,0.362938519,,5/20/2022,10.0%
5/23/2022,50.2%,,,5/23/2022,0.364600179,,5/23/2022,10.0%
5/24/2022,50.2%,,,5/24/2022,0.363667708,,5/24/2022,10.0%
5/25/2022,50.3%,,,5/25/2022,0.365446902,,5/25/2022,10.0%
5/26/2022,50.3%,,,5/26/2022,0.365371592,,5/26/2022,10.0%
5/27/2022,50.3%,,,5/27/2022,0.367233524,,5/27/2022,10.0%
5/31/2022,50.3%,,,5/31/2022,0.366156019,,5/31/2022,10.0%
6/1/2022,50.3%,,,6/1/2022,0.367002076,,6/1/2022,10.0%
6/2/2022,50.3%,,,6/2/2022,0.366904141,,6/2/2022,10.0%
6/3/2022,50.3%,,,6/3/2022,0.367024389,,6/3/2022,10.0%
6/6/2022,50.3%,,,6/6/2022,0.36703176,,6/6/2022,10.0%
6/7/2022,50.3%,,,6/7/2022,0.368881533,,6/7/2022,10.0%
6/8/2022,50.3%,,,6/8/2022,0.36898683,,6/8/2022,10.0%
6/9/2022,50.3%,,,6/9/2022,0.369397492,,6/9/2022,10.0%
6/10/2022,50.3%,,,6/10/2022,0.369779336,,6/10/2022,10.0%
6/13/2022,50.4%,,,6/13/2022,0.374674153,,6/13/2022,10.0%
6/14/2022,47.4%,,,6/14/2022,0.374636662,,6/14/2022,10.0%
6/15/2022,35.5%,,,6/15/2022,0.373662159,,6/15/2022,10.0%
6/16/2022,33.4%,,,6/16/2022,0.379411314,,6/16/2022,10.0%
6/17/2022,34.5%,,,6/17/2022,0.384054199,,6/17/2022,10.0%
6/21/2022,25.2%,,,6/21/2022,0.384419553,,6/21/2022,10.0%
6/22/2022,20.5%,,,6/22/2022,0.386633579,,6/22/2022,10.0%
6/23/2022,19.5%,,,6/23/2022,0.387720209,,6/23/2022,10.0%
6/24/2022,23.3%,,,6/24/2022,0.387782998,,6/24/2022,10.0%
6/27/2022,38.4%,,,6/27/2022,0.38778301,,6/27/2022,10.0%
6/28/2022,31.2%,,,6/28/2022,0.387959587,,6/28/2022,10.0%
6/29/2022,27.9%,,,6/29/2022,0.390379853,,6/29/2022,10.0%
6/30/2022,26.1%,,,6/30/2022,0.391959906,,6/30/2022,10.0%
7/1/2022,31.0%,,,7/1/2022,0.391935905,,7/1/2022,10.0%
7/5/2022,33.8%,,,7/5/2022,0.397439844,,7/5/2022,10.0%
7/6/2022,38.9%,,,7/6/2022,0.397606366,,7/6/2022,10.0%
7/7/2022,35.8%,,,7/7/2022,0.400322622,,7/7/2022,10.0%
7/8/2022,31.1%,,,7/8/2022,0.399707731,,7/8/2022,10.0%
7/11/2022,36.2%,,,7/11/2022,0.398235864,,7/11/2022,10.0%
7/12/2022,41.0%,,,7/12/2022,0.400309235,,7/12/2022,10.0%
7/13/2022,46.7%,,,7/13/2022,0.400013715,,7/13/2022,10.0%
7/14/2022,51.4%,,,7/14/2022,0.400379226,,7/14/2022,10.0%
7/15/2022,51.4%,,,7/15/2022,0.400866253,,7/15/2022,10.0%
7/18/2022,51.4%,,,7/18/2022,0.40034948,,7/18/2022,10.0%
7/19/2022,51.4%,,,7/19/2022,0.401520814,,7/19/2022,10.0%
7/20/2022,51.4%,,,7/20/2022,0.401097965,,7/20/2022,10.0%
7/21/2022,51.5%,,,7/21/2022,0.400092792,,7/21/2022,10.0%
7/22/2022,51.5%,,,7/22/2022,0.400628378,,7/22/2022,10.0%
7/25/2022,51.6%,,,7/25/2022,0.404330432,,7/25/2022,10.0%
7/26/2022,51.6%,,,7/26/2022,0.40447153,,7/26/2022,10.0%
7/27/2022,51.6%,,,7/27/2022,0.403658531,,7/27/2022,10.0%
7/28/2022,51.6%,,,7/28/2022,0.401600526,,7/28/2022,10.0%
7/29/2022,51.6%,,,7/29/2022,0.401596149,,7/29/2022,10.0%
8/1/2022,51.5%,,,8/1/2022,0.402339906,,8/1/2022,10.0%
8/2/2022,51.5%,,,8/2/2022,0.402341177,,8/2/2022,10.0%
8/3/2022,51.5%,,,8/3/2022,0.403235708,,8/3/2022,10.0%
8/4/2022,51.6%,,,8/4/2022,0.40635849,,8/4/2022,10.0%
8/5/2022,51.6%,,,8/5/2022,0.407370727,,8/5/2022,10.0%
8/8/2022,51.6%,,,8/8/2022,0.407302462,,8/8/2022,10.0%
8/9/2022,51.6%,,,8/9/2022,0.407543879,,8/9/2022,10.0%
8/10/2022,51.6%,,,8/10/2022,0.407748875,,8/10/2022,10.0%
8/11/2022,51.6%,,,8/11/2022,0.410110795,,8/11/2022,10.0%
8/12/2022,51.6%,,,8/12/2022,0.410140653,,8/12/2022,10.0%
8/15/2022,51.6%,,,8/15/2022,0.410771328,,8/15/2022,10.0%
8/16/2022,51.6%,,,8/16/2022,0.408097506,,8/16/2022,10.0%
8/17/2022,51.5%,,,8/17/2022,0.407200821,,8/17/2022,10.0%
8/18/2022,51.6%,,,8/18/2022,0.409045525,,8/18/2022,10.0%
8/19/2022,51.6%,,,8/19/2022,0.409037508,,8/19/2022,10.0%
8/22/2022,51.6%,,,8/22/2022,0.409069024,,8/22/2022,10.0%
8/23/2022,51.5%,,,8/23/2022,0.408976045,,8/23/2022,10.0%
8/24/2022,51.5%,,,8/24/2022,0.409257018,,8/24/2022,10.0%
8/25/2022,51.5%,,,8/25/2022,0.409285993,,8/25/2022,10.0%
8/26/2022,51.5%,,,8/26/2022,0.408776939,,8/26/2022,10.0%
8/29/2022,51.5%,,,8/29/2022,0.408703044,,8/29/2022,10.0%
8/30/2022,51.5%,,,8/30/2022,0.411632169,,8/30/2022,10.0%
8/31/2022,51.5%,,,8/31/2022,0.411621545,,8/31/2022,10.0%
9/1/2022,51.6%,,,9/1/2022,0.413292308,,9/1/2022,10.0%
9/2/2022,51.6%,,,9/2/2022,0.413878487,,9/2/2022,10.0%
9/6/2022,51.6%,,,9/6/2022,0.413751679,,9/6/2022,10.0%
9/7/2022,51.5%,,,9/7/2022,0.413248515,,9/7/2022,10.0%
9/8/2022,51.5%,,,9/8/2022,0.413016116,,9/8/2022,10.0%
9/9/2022,51.5%,,,9/9/2022,0.413636671,,9/9/2022,10.0%
9/12/2022,51.3%,,,9/12/2022,0.413936394,,9/12/2022,10.0%
9/13/2022,50.7%,,,9/13/2022,0.414332989,,9/13/2022,10.0%
9/14/2022,49.4%,,,9/14/2022,0.415433853,,9/14/2022,10.0%
9/15/2022,49.4%,,,9/15/2022,0.416580998,,9/15/2022,10.0%
9/16/2022,49.6%,,,9/16/2022,0.416797874,,9/16/2022,10.0%
9/19/2022,50.0%,,,9/19/2022,0.416699877,,9/19/2022,10.0%
9/20/2022,50.5%,,,9/20/2022,0.414075928,,9/20/2022,10.0%
9/21/2022,51.2%,,,9/21/2022,0.414570742,,9/21/2022,10.0%
9/22/2022,51.2%,,,9/22/2022,0.41387899,,9/22/2022,10.0%
9/23/2022,51.6%,,,9/23/2022,0.420620189,,9/23/2022,10.0%
9/26/2022,48.5%,,,9/26/2022,0.421942639,,9/26/2022,10.0%
9/27/2022,51.7%,,,9/27/2022,0.41998685,,9/27/2022,10.0%
9/28/2022,51.8%,,,9/28/2022,0.424015975,,9/28/2022,10.0%
9/29/2022,51.8%,,,9/29/2022,0.42403435,,9/29/2022,10.0%
9/30/2022,51.7%,,,9/30/2022,0.423957302,,9/30/2022,10.0%
10/3/2022,51.9%,,,10/3/2022,0.428074598,,10/3/2022,10.0%
10/4/2022,52.0%,,,10/4/2022,0.430261269,,10/4/2022,10.0%
10/5/2022,52.0%,,,10/5/2022,0.430532613,,10/5/2022,10.0%
10/6/2022,51.9%,,,10/6/2022,0.430178718,,10/6/2022,10.0%
