,Ex-Ante Risk,,,,0,,,Ex-Ante Risk
10/7/2022,52.0%,,,10/7/2022,0.429934408,,10/7/2022,10.0%
10/10/2022,52.0%,,,10/10/2022,0.429752659,,10/10/2022,10.0%
10/11/2022,52.0%,,,10/11/2022,0.430094829,,10/11/2022,10.0%
10/12/2022,52.0%,,,10/12/2022,0.430269595,,10/12/2022,10.0%
10/13/2022,48.7%,,,10/13/2022,0.431629288,,10/13/2022,10.0%
10/14/2022,41.6%,,,10/14/2022,0.434425451,,10/14/2022,10.0%
10/17/2022,40.7%,,,10/17/2022,0.434827211,,10/17/2022,10.0%
10/18/2022,44.2%,,,10/18/2022,0.434798811,,10/18/2022,10.0%
10/19/2022,43.3%,,,10/19/2022,0.435074221,,10/19/2022,10.0%
10/20/2022,44.8%,,,10/20/2022,0.434788385,,10/20/2022,10.0%
10/21/2022,42.8%,,,10/21/2022,0.434633717,,10/21/2022,10.0%
10/24/2022,42.8%,,,10/24/2022,0.434414682,,10/24/2022,10.0%
10/25/2022,45.8%,,,10/25/2022,0.433611148,,10/25/2022,10.0%
10/26/2022,50.4%,,,10/26/2022,0.433681124,,10/26/2022,10.0%
10/27/2022,48.1%,,,10/27/2022,0.431895462,,10/27/2022,10.0%
10/28/2022,49.5%,,,10/28/2022,0.43196259,,10/28/2022,10.0%
10/31/2022,48.4%,,,10/31/2022,0.431757609,,10/31/2022,10.0%
11/1/2022,46.2%,,,11/1/2022,0.431273509,,11/1/2022,10.0%
11/2/2022,48.3%,,,11/2/2022,0.432180582,,11/2/2022,10.0%
11/3/2022,49.9%,,,11/3/2022,0.432444673,,11/3/2022,10.0%
11/4/2022,48.9%,,,11/4/2022,0.432496099,,11/4/2022,10.0%
11/7/2022,46.7%,,,11/7/2022,0.432736198,,11/7/2022,10.0%
11/8/2022,42.4%,,,11/8/2022,0.432648791,,11/8/2022,10.0%
11/9/2022,45.8%,,,11/9/2022,0.436376763,,11/9/2022,10.0%
11/10/2022,48.2%,,,11/10/2022,0.435178793,,11/10/2022,10.0%
11/11/2022,45.2%,,,11/11/2022,0.435421638,,11/11/2022,10.0%
11/14/2022,50.9%,,,11/14/2022,0.435440651,,11/14/2022,10.0%
11/15/2022,44.0%,,,11/15/2022,0.435736151,,11/15/2022,10.0%
11/16/2022,50.0%,,,11/16/2022,0.436696758,,11/16/2022,10.0%
11/17/2022,44.5%,,,11/17/2022,0.435504468,,11/17/2022,10.0%
11/18/2022,43.0%,,,11/18/2022,0.435671604,,11/18/2022,10.0%
11/21/2022,38.3%,,,11/21/2022,0.433345393,,11/21/2022,10.0%
11/22/2022,36.1%,,,11/22/2022,0.434770295,,11/22/2022,10.0%
11/23/2022,35.5%,,,11/23/2022,0.4333203,,11/23/2022,10.0%
11/25/2022,35.8%,,,11/25/2022,0.433830215,,11/25/2022,10.0%
11/28/2022,37.5%,,,11/28/2022,0.42959283,,11/28/2022,10.0%
11/29/2022,39.2%,,,11/29/2022,0.429544573,,11/29/2022,10.0%
11/30/2022,36.7%,,,11/30/2022,0.428628265,,11/30/2022,10.0%
12/1/2022,39.2%,,,12/1/2022,0.426717931,,12/1/2022,10.0%
12/2/2022,39.2%,,,12/2/2022,0.425809393,,12/2/2022,10.0%
12/5/2022,39.2%,,,12/5/2022,0.425688448,,12/5/2022,10.0%
12/6/2022,39.2%,,,12/6/2022,0.425063075,,12/6/2022,10.0%
12/7/2022,39.3%,,,12/7/2022,0.425281125,,12/7/2022,10.0%
12/8/2022,39.3%,,,12/8/2022,0.425325869,,12/8/2022,10.0%
12/9/2022,39.3%,,,12/9/2022,0.425961242,,12/9/2022,10.0%
12/12/2022,39.4%,,,12/12/2022,0.427890473,,12/12/2022,10.0%
12/13/2022,38.3%,,,12/13/2022,0.425689174,,12/13/2022,10.0%
12/14/2022,39.4%,,,12/14/2022,0.426703923,,12/14/2022,10.0%
12/15/2022,39.4%,,,12/15/2022,0.427006811,,12/15/2022,10.0%
12/16/2022,39.4%,,,12/16/2022,0.426957073,,12/16/2022,10.0%
12/19/2022,38.2%,,,12/19/2022,0.428053918,,12/19/2022,10.0%
12/20/2022,39.5%,,,12/20/2022,0.427475592,,12/20/2022,10.0%
12/21/2022,39.5%,,,12/21/2022,0.425042449,,12/21/2022,10.0%
12/22/2022,38.6%,,,12/22/2022,0.425064432,,12/22/2022,10.0%
12/23/2022,37.2%,,,12/23/2022,0.425040408,,12/23/2022,10.0%
12/27/2022,39.5%,,,12/27/2022,0.423634387,,12/27/2022,10.0%
12/28/2022,39.5%,,,12/28/2022,0.4243632,,12/28/2022,10.0%
12/29/2022,39.6%,,,12/29/2022,0.425757507,,12/29/2022,10.0%
12/30/2022,39.6%,,,12/30/2022,0.425296531,,12/30/2022,10.0%
1/3/2023,39.5%,,,1/3/2023,0.425640413,,1/3/2023,10.0%
1/4/2023,39.5%,,,1/4/2023,0.423637852,,1/4/2023,10.0%
1/5/2023,39.8%,,,1/5/2023,0.42904443,,1/5/2023,10.0%
1/6/2023,39.9%,,,1/6/2023,0.430685157,,1/6/2023,10.0%
1/9/2023,39.9%,,,1/9/2023,0.431778478,,1/9/2023,10.0%
1/10/2023,39.9%,,,1/10/2023,0.43274404,,1/10/2023,10.0%
1/11/2023,40.0%,,,1/11/2023,0.434590584,,1/11/2023,10.0%
1/12/2023,40.0%,,,1/12/2023,0.433748926,,1/12/2023,10.0%
1/13/2023,40.0%,,,1/13/2023,0.433646533,,1/13/2023,10.0%
1/17/2023,40.2%,,,1/17/2023,0.438304238,,1/17/2023,10.0%
1/18/2023,40.2%,,,1/18/2023,0.437217124,,1/18/2023,10.0%
1/19/2023,40.2%,,,1/19/2023,0.437141906,,1/19/2023,10.0%
1/20/2023,40.2%,,,1/20/2023,0.437039594,,1/20/2023,10.0%
1/23/2023,40.2%,,,1/23/2023,0.43644283,,1/23/2023,10.0%
1/24/2023,40.2%,,,1/24/2023,0.434999922,,1/24/2023,10.0%
1/25/2023,40.2%,,,1/25/2023,0.435032993,,1/25/2023,10.0%
1/26/2023,40.2%,,,1/26/2023,0.433560587,,1/26/2023,10.0%
1/27/2023,40.2%,,,1/27/2023,0.433347183,,1/27/2023,10.0%
1/30/2023,40.3%,,,1/30/2023,0.434340989,,1/30/2023,10.0%
1/31/2023,40.3%,,,1/31/2023,0.43452415,,1/31/2023,10.0%
2/1/2023,40.4%,,,2/1/2023,0.438346666,,2/1/2023,10.0%
2/2/2023,40.4%,,,2/2/2023,0.436620047,,2/2/2023,10.0%
2/3/2023,40.5%,,,2/3/2023,0.43932644,,2/3/2023,10.0%
2/6/2023,40.5%,,,2/6/2023,0.439972173,,2/6/2023,10.0%
2/7/2023,40.6%,,,2/7/2023,0.444163089,,2/7/2023,10.0%
2/8/2023,40.7%,,,2/8/2023,0.446340311,,2/8/2023,10.0%
2/9/2023,38.2%,,,2/9/2023,0.444980695,,2/9/2023,10.0%
2/10/2023,39.3%,,,2/10/2023,0.444732407,,2/10/2023,10.0%
2/13/2023,40.7%,,,2/13/2023,0.444743501,,2/13/2023,10.0%
2/14/2023,41.0%,,,2/14/2023,0.449854923,,2/14/2023,10.0%
2/15/2023,41.3%,,,2/15/2023,0.458959882,,2/15/2023,10.0%
2/16/2023,41.4%,,,2/16/2023,0.459511034,,2/16/2023,10.0%
2/17/2023,41.3%,,,2/17/2023,0.459484704,,2/17/2023,10.0%
2/21/2023,41.3%,,,2/21/2023,0.460241202,,2/21/2023,10.0%
2/22/2023,41.3%,,,2/22/2023,0.460673478,,2/22/2023,10.0%
2/23/2023,41.3%,,,2/23/2023,0.460101942,,2/23/2023,10.0%
2/24/2023,41.3%,,,2/24/2023,0.460021475,,2/24/2023,10.0%
2/27/2023,41.2%,,,2/27/2023,0.461257093,,2/27/2023,10.0%
2/28/2023,41.2%,,,2/28/2023,0.461252922,,2/28/2023,10.0%
3/1/2023,41.1%,,,3/1/2023,0.459565384,,3/1/2023,10.0%
3/2/2023,41.1%,,,3/2/2023,0.459518894,,3/2/2023,10.0%
3/3/2023,41.1%,,,3/3/2023,0.45939637,,3/3/2023,10.0%
3/6/2023,41.2%,,,3/6/2023,0.461237154,,3/6/2023,10.0%
3/7/2023,41.2%,,,3/7/2023,0.459530543,,3/7/2023,10.0%
3/8/2023,41.1%,,,3/8/2023,0.46008222,,3/8/2023,10.1%
3/9/2023,41.1%,,,3/9/2023,0.46005383,,3/9/2023,10.1%
3/10/2023,41.0%,,,3/10/2023,0.457925153,,3/10/2023,10.1%
3/13/2023,40.7%,,,3/13/2023,0.457938919,,3/13/2023,10.1%
3/14/2023,40.7%,,,3/14/2023,0.458228367,,3/14/2023,10.0%
3/15/2023,40.3%,,,3/15/2023,0.457004105,,3/15/2023,10.0%
3/16/2023,40.3%,,,3/16/2023,0.45778159,,3/16/2023,10.0%
3/17/2023,40.1%,,,3/17/2023,0.458749247,,3/17/2023,10.0%
3/20/2023,40.2%,,,3/20/2023,0.457268592,,3/20/2023,10.0%
3/21/2023,40.2%,,,3/21/2023,0.457889301,,3/21/2023,10.0%
3/22/2023,40.2%,,,3/22/2023,0.456259514,,3/22/2023,10.0%
3/23/2023,40.0%,,,3/23/2023,0.456169684,,3/23/2023,10.0%
3/24/2023,40.0%,,,3/24/2023,0.455651061,,3/24/2023,10.0%
3/27/2023,40.0%,,,3/27/2023,0.455802103,,3/27/2023,10.0%
3/28/2023,39.9%,,,3/28/2023,0.455732811,,3/28/2023,10.1%
3/29/2023,39.9%,,,3/29/2023,0.455542644,,3/29/2023,10.1%
3/30/2023,39.9%,,,3/30/2023,0.455649848,,3/30/2023,10.1%
3/31/2023,39.8%,,,3/31/2023,0.455940077,,3/31/2023,10.1%
4/3/2023,39.7%,,,4/3/2023,0.455808062,,4/3/2023,10.1%
4/4/2023,39.7%,,,4/4/2023,0.456231315,,4/4/2023,10.1%
4/5/2023,39.8%,,,4/5/2023,0.456931942,,4/5/2023,10.1%
4/6/2023,39.8%,,,4/6/2023,0.456440839,,4/6/2023,10.1%
4/10/2023,39.8%,,,4/10/2023,0.458069139,,4/10/2023,10.1%
4/11/2023,39.8%,,,4/11/2023,0.458005243,,4/11/2023,10.1%
4/12/2023,39.8%,,,4/12/2023,0.45696326,,4/12/2023,10.1%
4/13/2023,39.8%,,,4/13/2023,0.456164668,,4/13/2023,10.1%
4/14/2023,39.7%,,,4/14/2023,0.456028255,,4/14/2023,10.1%
4/17/2023,39.7%,,,4/17/2023,0.45514864,,4/17/2023,10.1%
4/18/2023,39.6%,,,4/18/2023,0.455221316,,4/18/2023,10.1%
4/19/2023,39.6%,,,4/19/2023,0.454467727,,4/19/2023,10.1%
4/20/2023,39.6%,,,4/20/2023,0.454262054,,4/20/2023,10.2%
4/21/2023,39.6%,,,4/21/2023,0.454206891,,4/21/2023,10.2%
4/24/2023,39.6%,,,4/24/2023,0.452364629,,4/24/2023,10.2%
4/25/2023,39.6%,,,4/25/2023,0.451994058,,4/25/2023,10.2%
4/26/2023,39.6%,,,4/26/2023,0.451711916,,4/26/2023,10.2%
4/27/2023,31.3%,,,4/27/2023,0.451636297,,4/27/2023,10.2%
4/28/2023,37.6%,,,4/28/2023,0.452820968,,4/28/2023,10.1%
5/1/2023,32.3%,,,5/1/2023,0.45166722,,5/1/2023,10.1%
5/2/2023,33.5%,,,5/2/2023,0.451206774,,5/2/2023,10.1%
5/3/2023,37.6%,,,5/3/2023,0.451170797,,5/3/2023,10.1%
5/4/2023,38.3%,,,5/4/2023,0.448327117,,5/4/2023,10.1%
5/5/2023,35.6%,,,5/5/2023,0.447112824,,5/5/2023,10.1%
5/8/2023,35.6%,,,5/8/2023,0.448297918,,5/8/2023,10.1%
5/9/2023,32.9%,,,5/9/2023,0.447730995,,5/9/2023,10.1%
5/10/2023,39.6%,,,5/10/2023,0.435907602,,5/10/2023,10.1%
5/11/2023,39.0%,,,5/11/2023,0.441519042,,5/11/2023,10.2%
5/12/2023,35.3%,,,5/12/2023,0.442548451,,5/12/2023,10.2%
5/15/2023,40.3%,,,5/15/2023,0.450135064,,5/15/2023,10.1%
5/16/2023,40.3%,,,5/16/2023,0.448472703,,5/16/2023,10.2%
5/17/2023,40.3%,,,5/17/2023,0.447737054,,5/17/2023,10.2%
5/18/2023,36.9%,,,5/18/2023,0.449007359,,5/18/2023,10.2%
5/19/2023,37.0%,,,5/19/2023,0.447332744,,5/19/2023,10.1%
5/22/2023,40.3%,,,5/22/2023,0.447402818,,5/22/2023,10.1%
5/23/2023,38.2%,,,5/23/2023,0.447389903,,5/23/2023,10.1%
5/24/2023,35.3%,,,5/24/2023,0.446154098,,5/24/2023,10.1%
5/25/2023,38.9%,,,5/25/2023,0.446155051,,5/25/2023,10.1%
5/26/2023,40.3%,,,5/26/2023,0.445125205,,5/26/2023,10.1%
5/30/2023,40.5%,,,5/30/2023,0.448129687,,5/30/2023,10.1%
5/31/2023,40.5%,,,5/31/2023,0.447405261,,5/31/2023,10.1%
6/1/2023,40.5%,,,6/1/2023,0.44750645,,6/1/2023,10.1%
6/2/2023,40.5%,,,6/2/2023,0.447610346,,6/2/2023,10.1%
6/5/2023,40.5%,,,6/5/2023,0.448471677,,6/5/2023,10.1%
6/6/2023,40.5%,,,6/6/2023,0.448163994,,6/6/2023,10.1%
6/7/2023,40.6%,,,6/7/2023,0.450650669,,6/7/2023,10.1%
6/8/2023,40.6%,,,6/8/2023,0.448840361,,6/8/2023,10.1%
6/9/2023,40.6%,,,6/9/2023,0.448951005,,6/9/2023,10.1%
6/12/2023,34.9%,,,6/12/2023,0.449195835,,6/12/2023,10.1%
6/13/2023,35.2%,,,6/13/2023,0.449524435,,6/13/2023,10.1%
6/14/2023,35.3%,,,6/14/2023,0.445318935,,6/14/2023,10.1%
6/15/2023,32.9%,,,6/15/2023,0.445796429,,6/15/2023,10.1%
6/16/2023,32.5%,,,6/16/2023,0.445351425,,6/16/2023,10.1%
6/20/2023,29.0%,,,6/20/2023,0.44122901,,6/20/2023,10.1%
6/21/2023,30.2%,,,6/21/2023,0.437420624,,6/21/2023,10.1%
6/22/2023,27.7%,,,6/22/2023,0.436966827,,6/22/2023,10.1%
6/23/2023,25.9%,,,6/23/2023,0.435183309,,6/23/2023,10.1%
6/26/2023,26.0%,,,6/26/2023,0.434243655,,6/26/2023,10.1%
6/27/2023,27.7%,,,6/27/2023,0.434542855,,6/27/2023,10.1%
6/28/2023,28.5%,,,6/28/2023,0.434551197,,6/28/2023,10.1%
6/29/2023,26.5%,,,6/29/2023,0.434313792,,6/29/2023,10.1%
6/30/2023,27.8%,,,6/30/2023,0.432280241,,6/30/2023,10.1%
7/3/2023,34.0%,,,7/3/2023,0.430913068,,7/3/2023,10.1%
7/5/2023,35.8%,,,7/5/2023,0.430864232,,7/5/2023,10.1%
7/6/2023,38.2%,,,7/6/2023,0.425838574,,7/6/2023,10.1%
7/7/2023,40.6%,,,7/7/2023,0.425494143,,7/7/2023,10.1%
7/10/2023,40.6%,,,7/10/2023,0.4235679,,7/10/2023,10.1%
7/11/2023,40.6%,,,7/11/2023,0.423526858,,7/11/2023,10.0%
7/12/2023,37.1%,,,7/12/2023,0.423472003,,7/12/2023,10.0%
7/13/2023,37.8%,,,7/13/2023,0.42156123,,7/13/2023,10.0%
7/14/2023,38.9%,,,7/14/2023,0.421604345,,7/14/2023,10.0%
7/17/2023,35.4%,,,7/17/2023,0.421306777,,7/17/2023,10.0%
7/18/2023,36.5%,,,7/18/2023,0.424614891,,7/18/2023,10.1%
7/19/2023,40.8%,,,7/19/2023,0.425256912,,7/19/2023,10.1%
7/20/2023,40.8%,,,7/20/2023,0.423485207,,7/20/2023,10.1%
7/21/2023,40.8%,,,7/21/2023,0.422839721,,7/21/2023,10.1%
7/24/2023,40.8%,,,7/24/2023,0.421937471,,7/24/2023,10.1%
7/25/2023,40.8%,,,7/25/2023,0.421601409,,7/25/2023,10.0%
7/26/2023,40.9%,,,7/26/2023,0.418522596,,7/26/2023,10.0%
7/27/2023,40.9%,,,7/27/2023,0.418808496,,7/27/2023,10.1%
7/28/2023,40.9%,,,7/28/2023,0.418215637,,7/28/2023,10.1%
7/31/2023,40.9%,,,7/31/2023,0.418423849,,7/31/2023,10.1%
8/1/2023,40.8%,,,8/1/2023,0.417547581,,8/1/2023,10.1%
8/2/2023,40.8%,,,8/2/2023,0.417114994,,8/2/2023,10.1%
8/3/2023,40.8%,,,8/3/2023,0.417134883,,8/3/2023,10.1%
8/4/2023,40.9%,,,8/4/2023,0.41652259,,8/4/2023,10.1%
8/7/2023,40.8%,,,8/7/2023,0.413658251,,8/7/2023,10.1%
8/8/2023,40.7%,,,8/8/2023,0.41276072,,8/8/2023,10.1%
8/9/2023,40.8%,,,8/9/2023,0.413791575,,8/9/2023,10.1%
8/10/2023,40.8%,,,8/10/2023,0.414746258,,8/10/2023,10.1%
8/11/2023,40.8%,,,8/11/2023,0.416282994,,8/11/2023,10.1%
8/14/2023,40.8%,,,8/14/2023,0.413803674,,8/14/2023,10.1%
8/15/2023,40.8%,,,8/15/2023,0.413927843,,8/15/2023,10.1%
8/16/2023,40.8%,,,8/16/2023,0.413218769,,8/16/2023,10.1%
8/17/2023,40.8%,,,8/17/2023,0.413294659,,8/17/2023,10.1%
8/18/2023,40.8%,,,8/18/2023,0.413911736,,8/18/2023,10.1%
8/21/2023,40.8%,,,8/21/2023,0.413660631,,8/21/2023,10.1%
8/22/2023,40.8%,,,8/22/2023,0.413688852,,8/22/2023,10.1%
8/23/2023,40.8%,,,8/23/2023,0.414315864,,8/23/2023,10.1%
8/24/2023,40.8%,,,8/24/2023,0.414817194,,8/24/2023,10.1%
8/25/2023,40.8%,,,8/25/2023,0.414576081,,8/25/2023,10.1%
8/28/2023,40.9%,,,8/28/2023,0.415416957,,8/28/2023,10.1%
8/29/2023,40.9%,,,8/29/2023,0.415344559,,8/29/2023,10.1%
8/30/2023,40.9%,,,8/30/2023,0.415025971,,8/30/2023,10.1%
8/31/2023,40.8%,,,8/31/2023,0.412299909,,8/31/2023,10.1%
9/1/2023,40.8%,,,9/1/2023,0.412627914,,9/1/2023,10.1%
9/5/2023,40.9%,,,9/5/2023,0.410927417,,9/5/2023,10.1%
9/6/2023,37.8%,,,9/6/2023,0.410243561,,9/6/2023,10.1%
9/7/2023,40.0%,,,9/7/2023,0.410549411,,9/7/2023,10.1%
9/8/2023,36.7%,,,9/8/2023,0.410083957,,9/8/2023,10.1%
9/11/2023,38.0%,,,9/11/2023,0.410652924,,9/11/2023,10.1%
9/12/2023,31.4%,,,9/12/2023,0.40992237,,9/12/2023,10.1%
9/13/2023,36.7%,,,9/13/2023,0.409947836,,9/13/2023,10.1%
9/14/2023,30.0%,,,9/14/2023,0.409383351,,9/14/2023,10.1%
9/15/2023,29.4%,,,9/15/2023,0.408600219,,9/15/2023,10.1%
9/18/2023,30.8%,,,9/18/2023,0.407801492,,9/18/2023,10.1%
9/19/2023,40.9%,,,9/19/2023,0.407045453,,9/19/2023,10.1%
9/20/2023,40.9%,,,9/20/2023,0.407139308,,9/20/2023,10.1%
9/21/2023,40.9%,,,9/21/2023,0.40818837,,9/21/2023,10.1%
9/22/2023,40.9%,,,9/22/2023,0.407704918,,9/22/2023,10.1%
9/25/2023,40.0%,,,9/25/2023,0.408857688,,9/25/2023,10.1%
9/26/2023,39.1%,,,9/26/2023,0.401129369,,9/26/2023,10.1%
9/27/2023,38.3%,,,9/27/2023,0.399834235,,9/27/2023,10.1%
9/28/2023,40.9%,,,9/28/2023,0.399365638,,9/28/2023,10.1%
9/29/2023,40.9%,,,9/29/2023,0.395145921,,9/29/2023,10.1%
10/2/2023,40.9%,,,10/2/2023,0.395460512,,10/2/2023,10.1%
10/3/2023,34.8%,,,10/3/2023,0.395511799,,10/3/2023,10.1%
10/4/2023,39.6%,,,10/4/2023,0.390815741,,10/4/2023,10.1%
10/5/2023,36.8%,,,10/5/2023,0.387307685,,10/5/2023,10.1%
10/6/2023,33.8%,,,10/6/2023,0.38710785,,10/6/2023,10.1%
10/9/2023,35.0%,,,10/9/2023,0.387960182,,10/9/2023,10.1%
10/10/2023,39.3%,,,10/10/2023,0.388185418,,10/10/2023,10.1%
10/11/2023,40.4%,,,10/11/2023,0.387507151,,10/11/2023,10.1%
10/12/2023,39.2%,,,10/12/2023,0.387184312,,10/12/2023,10.1%
10/13/2023,39.8%,,,10/13/2023,0.387724478,,10/13/2023,10.1%
10/16/2023,45.9%,,,10/16/2023,0.386263729,,10/16/2023,10.0%
10/17/2023,35.6%,,,10/17/2023,0.383122824,,10/17/2023,10.0%
10/18/2023,34.2%,,,10/18/2023,0.38367227,,10/18/2023,10.0%
10/19/2023,34.2%,,,10/19/2023,0.383767038,,10/19/2023,10.0%
10/20/2023,35.1%,,,10/20/2023,0.383738469,,10/20/2023,10.0%
10/23/2023,34.3%,,,10/23/2023,0.383721685,,10/23/2023,10.1%
10/24/2023,34.2%,,,10/24/2023,0.383337399,,10/24/2023,10.0%
10/25/2023,32.7%,,,10/25/2023,0.385348572,,10/25/2023,10.1%
10/26/2023,34.3%,,,10/26/2023,0.385458833,,10/26/2023,10.1%
10/27/2023,33.0%,,,10/27/2023,0.385363148,,10/27/2023,10.1%
10/30/2023,28.7%,,,10/30/2023,0.385308017,,10/30/2023,10.1%
10/31/2023,34.2%,,,10/31/2023,0.385284678,,10/31/2023,10.1%
11/1/2023,42.2%,,,11/1/2023,0.385726064,,11/1/2023,10.1%
11/2/2023,48.0%,,,11/2/2023,0.386369764,,11/2/2023,10.0%
11/3/2023,48.0%,,,11/3/2023,0.385984314,,11/3/2023,10.0%
11/6/2023,47.7%,,,11/6/2023,0.38551507,,11/6/2023,10.1%
11/7/2023,47.7%,,,11/7/2023,0.385769398,,11/7/2023,10.1%
11/8/2023,47.7%,,,11/8/2023,0.384920553,,11/8/2023,10.1%
11/9/2023,47.6%,,,11/9/2023,0.385234094,,11/9/2023,10.1%
11/10/2023,47.6%,,,11/10/2023,0.383557207,,11/10/2023,10.1%
11/13/2023,47.6%,,,11/13/2023,0.382538981,,11/13/2023,10.1%
11/14/2023,47.6%,,,11/14/2023,0.38420142,,11/14/2023,10.1%
11/15/2023,47.6%,,,11/15/2023,0.384158509,,11/15/2023,10.1%
11/16/2023,47.6%,,,11/16/2023,0.383696759,,11/16/2023,10.1%
11/17/2023,47.6%,,,11/17/2023,0.382645619,,11/17/2023,10.1%
11/20/2023,47.6%,,,11/20/2023,0.383218118,,11/20/2023,10.1%
11/21/2023,47.6%,,,11/21/2023,0.38331681,,11/21/2023,10.1%
11/22/2023,47.6%,,,11/22/2023,0.383123607,,11/22/2023,10.1%
11/24/2023,47.6%,,,11/24/2023,0.381055056,,11/24/2023,10.1%
11/27/2023,47.6%,,,11/27/2023,0.380952494,,11/27/2023,10.1%
11/28/2023,47.6%,,,11/28/2023,0.380204342,,11/28/2023,10.1%
11/29/2023,47.6%,,,11/29/2023,0.380032432,,11/29/2023,10.1%
11/30/2023,47.6%,,,11/30/2023,0.379924732,,11/30/2023,10.1%
12/1/2023,45.2%,,,12/1/2023,0.37971582,,12/1/2023,10.1%
12/4/2023,46.9%,,,12/4/2023,0.380248982,,12/4/2023,10.1%
12/5/2023,44.3%,,,12/5/2023,0.379801509,,12/5/2023,10.1%
12/6/2023,47.6%,,,12/6/2023,0.379746953,,12/6/2023,10.0%
12/7/2023,47.6%,,,12/7/2023,0.380336619,,12/7/2023,10.1%
12/8/2023,47.6%,,,12/8/2023,0.378826592,,12/8/2023,10.0%
12/11/2023,47.5%,,,12/11/2023,0.379072628,,12/11/2023,10.0%
12/12/2023,47.5%,,,12/12/2023,0.378158576,,12/12/2023,10.0%
12/13/2023,45.2%,,,12/13/2023,0.376478307,,12/13/2023,10.0%
12/14/2023,47.5%,,,12/14/2023,0.376480869,,12/14/2023,10.0%
12/15/2023,47.5%,,,12/15/2023,0.375108525,,12/15/2023,10.0%
12/18/2023,47.5%,,,12/18/2023,0.374927377,,12/18/2023,10.0%
12/19/2023,47.5%,,,12/19/2023,0.37502188,,12/19/2023,10.0%
12/20/2023,47.6%,,,12/20/2023,0.374461942,,12/20/2023,10.0%
12/21/2023,47.6%,,,12/21/2023,0.375001311,,12/21/2023,10.1%
12/22/2023,47.6%,,,12/22/2023,0.375000797,,12/22/2023,10.0%
12/26/2023,47.6%,,,12/26/2023,0.375137703,,12/26/2023,10.0%
12/27/2023,47.6%,,,12/27/2023,0.375139427,,12/27/2023,10.0%
12/28/2023,47.6%,,,12/28/2023,0.375101447,,12/28/2023,10.0%
12/29/2023,47.6%,,,12/29/2023,0.374441597,,12/29/2023,10.0%
1/2/2024,47.6%,,,1/2/2024,0.374259467,,1/2/2024,10.1%
1/3/2024,47.6%,,,1/3/2024,0.374879144,,1/3/2024,10.1%
1/4/2024,47.6%,,,1/4/2024,0.374541302,,1/4/2024,10.1%
1/5/2024,47.6%,,,1/5/2024,0.374431947,,1/5/2024,10.1%
1/8/2024,47.6%,,,1/8/2024,0.367984964,,1/8/2024,10.1%
1/9/2024,47.5%,,,1/9/2024,0.364857749,,1/9/2024,10.1%
1/10/2024,47.5%,,,1/10/2024,0.362412308,,1/10/2024,10.1%
1/11/2024,47.5%,,,1/11/2024,0.361315368,,1/11/2024,10.1%
1/12/2024,47.5%,,,1/12/2024,0.35908153,,1/12/2024,10.1%
1/16/2024,47.5%,,,1/16/2024,0.357466438,,1/16/2024,10.1%
1/17/2024,47.5%,,,1/17/2024,0.35770466,,1/17/2024,10.1%
1/18/2024,47.5%,,,1/18/2024,0.352586829,,1/18/2024,10.1%
1/19/2024,47.5%,,,1/19/2024,0.354559489,,1/19/2024,10.1%
